ano,genero,uf,numero,pop_adulta,tx_pop
2018,Feminino,SP,2445,18915105,12.926177253575911
2019,Feminino,SP,2120,19109416,11.094007268458649
2018,Masculino,SP,1655,17569093,9.419951274661702
2017,Feminino,SP,1495,18716547,7.987584462027104
2019,Masculino,SP,1453,17760876,8.180902788803886
2016,Feminino,SP,1202,18507922,6.494516240126795
2014,Feminino,SP,1152,18050313,6.382160796879257
2015,Feminino,SP,1150,18281695,6.290445169334682
2013,Feminino,SP,1048,17808233,5.884918509320942
2017,Masculino,SP,1002,17373791,5.767307779862207
2014,Masculino,SP,898,16723290,5.369756788287472
2013,Masculino,SP,897,16490885,5.439368475372911
2016,Masculino,SP,892,17168987,5.195414266432842
2015,Masculino,SP,858,16946898,5.062873453301011
2019,Feminino,RJ,568,7408969,7.666383811296821
2019,Feminino,MG,464,8785642,5.28134426601949
2018,Feminino,MG,412,8708659,4.730923555509523
2019,Masculino,RJ,410,6579835,6.231159291988326
2018,Feminino,RJ,406,7356971,5.518575511579425
2019,Masculino,MG,351,8369460,4.193818956061682
2015,Feminino,RJ,337,7182575,4.691910630936677
2018,Masculino,MG,325,8294875,3.918081948190901
2018,Masculino,RJ,317,6528318,4.855768361774044
2016,Feminino,RJ,303,7246653,4.181240636194392
2017,Feminino,RJ,299,7303478,4.093939900962254
2018,Feminino,PR,283,4658113,6.075421527987836
2015,Masculino,RJ,275,6357834,4.325372446024857
2016,Masculino,RJ,275,6420290,4.28329561437256
2018,Feminino,RS,269,4791901,5.613638512147893
2018,Feminino,PE,260,3881393,6.6986259829911585
2014,Feminino,RJ,259,7111701,3.641885394225657
2017,Feminino,MG,250,8627549,2.8976943509680444
2015,Masculino,CE,246,3281031,7.497643271276619
2016,Masculino,SC,245,2727980,8.98100425956202
2014,Masculino,RJ,241,6289763,3.8316229085261244
2019,Feminino,PR,240,4702584,5.103577097187419
2018,Masculino,SC,229,2807204,8.15758313254042
2015,Feminino,CE,223,3568148,6.249740761874228
2019,Feminino,PE,217,3922693,5.5319139173012015
2017,Masculino,SC,215,2768380,7.766274861110108
2018,Feminino,CE,212,3692378,5.741557337845691
2019,Feminino,RS,211,4821890,4.375877508611769
2018,Masculino,RS,211,4441054,4.751124395244912
2015,Masculino,SC,210,2684576,7.822464329562656
2017,Masculino,RJ,209,6475762,3.227419414116825
2014,Masculino,SC,205,2638565,7.769374641140166
2015,Feminino,MG,201,8447240,2.379475426293085
2018,Feminino,SC,200,2891671,6.916416148310094
2019,Feminino,CE,199,3728302,5.33755044521608
2019,Feminino,BA,199,6071555,3.27757880806482
2017,Masculino,MG,197,8216063,2.3977420815784884
2016,Masculino,MG,197,8132283,2.422443980368121
2016,Feminino,MG,196,8541583,2.2946566227829197
2019,Feminino,SC,195,2931464,6.651966389490029
2019,Masculino,PR,185,4420375,4.185165285750643
2019,Masculino,RS,180,4468846,4.027885498851382
2019,Masculino,SC,180,2845696,6.325341849586183
2015,Masculino,MG,177,8039898,2.2015204670507016
2018,Masculino,PR,175,4382183,3.9934434504446754
2018,Feminino,BA,170,6012592,2.8273995641147778
2014,Feminino,MG,168,8347329,2.012619845222346
2017,Feminino,PR,164,4610935,3.5567623486342788
2014,Masculino,MG,163,7942363,2.0522859506673266
2015,Masculino,PR,160,4246663,3.7676641636032806
2019,Feminino,DF,148,1269796,11.65541551556313
2015,Feminino,SC,139,2765534,5.026154080911679
2016,Feminino,CE,138,3612450,3.8201220778142257
2018,Masculino,DF,138,1115186,12.374617328409789
2015,Feminino,PR,137,4504475,3.041419921300484
2016,Feminino,SC,137,2809983,4.8754743356098595
2014,Feminino,SC,137,2718514,5.039517913095169
2018,Feminino,DF,136,1247134,10.905002990857438
2017,Feminino,SC,135,2851571,4.734232463438575
2019,Masculino,DF,132,1136890,11.61062195990817
2016,Feminino,RS,131,4726273,2.771740015864509
2018,Masculino,PE,131,3457694,3.788652205776451
2015,Feminino,PE,129,3748764,3.4411341978316052
2017,Feminino,RS,128,4760907,2.6885633346755147
2019,Masculino,BA,126,5593892,2.2524567867953116
2013,Masculino,SC,126,2590119,4.864641354316153
2017,Feminino,CE,125,3653872,3.421028432304142
2019,Masculino,PE,124,3494774,3.5481550452189468
2017,Masculino,RS,121,4412316,2.7423239858613933
2016,Feminino,PE,119,3795572,3.1352323180801207
2018,Masculino,CE,118,3386007,3.4849307753941443
2018,Masculino,BA,118,5551635,2.12549996532553
2016,Masculino,PR,118,4296463,2.746445157330576
2014,Masculino,PE,117,3298286,3.547296990012388
2018,Feminino,GO,116,2750317,4.217695632903407
2014,Feminino,PR,113,4447384,2.5408195019813893
2016,Feminino,PR,112,4560133,2.4560687155396566
2018,Feminino,PA,112,3127128,3.5815611001532397
2013,Masculino,RJ,112,6216200,1.80174383063608
2018,Feminino,MS,110,1074182,10.240350331694257
2017,Masculino,PR,109,4341206,2.5108230293609655
2013,Feminino,MG,109,8241068,1.3226441038952719
