"genero","ano","pop_adulta","uf"
"Homem",2013,265626,"AC"
"Homem",2014,272692,"AC"
"Homem",2015,279837,"AC"
"Homem",2016,287146,"AC"
"Homem",2017,294478,"AC"
"Homem",2018,301758,"AC"
"Homem",2019,308791,"AC"
"Mulher",2013,268540,"AC"
"Mulher",2014,275980,"AC"
"Mulher",2015,283484,"AC"
"Mulher",2016,291121,"AC"
"Mulher",2017,298781,"AC"
"Mulher",2018,306399,"AC"
"Mulher",2019,313775,"AC"
"Homem",2013,1109561,"AL"
"Homem",2014,1124715,"AL"
"Homem",2015,1139180,"AL"
"Homem",2016,1152817,"AL"
"Homem",2017,1166019,"AL"
"Homem",2018,1178488,"AL"
"Homem",2019,1189863,"AL"
"Mulher",2013,1234734,"AL"
"Mulher",2014,1254399,"AL"
"Mulher",2015,1273356,"AL"
"Mulher",2016,1291692,"AL"
"Mulher",2017,1309428,"AL"
"Mulher",2018,1326272,"AL"
"Mulher",2019,1341877,"AL"
"Homem",2013,1278695,"AM"
"Homem",2014,1311717,"AM"
"Homem",2015,1343799,"AM"
"Homem",2016,1376163,"AM"
"Homem",2017,1406827,"AM"
"Homem",2018,1436331,"AM"
"Homem",2019,1464687,"AM"
"Mulher",2013,1279874,"AM"
"Mulher",2014,1314119,"AM"
"Mulher",2015,1347453,"AM"
"Mulher",2016,1380931,"AM"
"Mulher",2017,1412859,"AM"
"Mulher",2018,1443746,"AM"
"Mulher",2019,1473608,"AM"
"Homem",2013,249754,"AP"
"Homem",2014,258091,"AP"
"Homem",2015,266442,"AP"
"Homem",2016,275144,"AP"
"Homem",2017,283618,"AP"
"Homem",2018,292039,"AP"
"Homem",2019,300208,"AP"
"Mulher",2013,253178,"AP"
"Mulher",2014,261712,"AP"
"Mulher",2015,270229,"AP"
"Mulher",2016,278982,"AP"
"Mulher",2017,287512,"AP"
"Mulher",2018,295980,"AP"
"Mulher",2019,304204,"AP"
"Homem",2013,5301146,"BA"
"Homem",2014,5358659,"BA"
"Homem",2015,5412719,"BA"
"Homem",2016,5461787,"BA"
"Homem",2017,5507082,"BA"
"Homem",2018,5551635,"BA"
"Homem",2019,5593892,"BA"
"Mulher",2013,5677937,"BA"
"Mulher",2014,5751636,"BA"
"Mulher",2015,5822171,"BA"
"Mulher",2016,5888619,"BA"
"Mulher",2017,5951108,"BA"
"Mulher",2018,6012592,"BA"
"Mulher",2019,6071555,"BA"
"Homem",2013,3192792,"CE"
"Homem",2014,3238787,"CE"
"Homem",2015,3281031,"CE"
"Homem",2016,3318809,"CE"
"Homem",2017,3353815,"CE"
"Homem",2018,3386007,"CE"
"Homem",2019,3415709,"CE"
"Mulher",2013,3468024,"CE"
"Mulher",2014,3519891,"CE"
"Mulher",2015,3568148,"CE"
"Mulher",2016,3612450,"CE"
"Mulher",2017,3653872,"CE"
"Mulher",2018,3692378,"CE"
"Mulher",2019,3728302,"CE"
"Homem",2013,1001068,"DF"
"Homem",2014,1024043,"DF"
"Homem",2015,1046900,"DF"
"Homem",2016,1070315,"DF"
"Homem",2017,1093005,"DF"
"Homem",2018,1115186,"DF"
"Homem",2019,1136890,"DF"
"Mulher",2013,1127847,"DF"
"Mulher",2014,1152021,"DF"
"Mulher",2015,1176020,"DF"
"Mulher",2016,1200369,"DF"
"Mulher",2017,1224008,"DF"
"Mulher",2018,1247134,"DF"
"Mulher",2019,1269796,"DF"
"Homem",2013,1411106,"ES"
"Homem",2014,1435747,"ES"
"Homem",2015,1459639,"ES"
"Homem",2016,1483222,"ES"
"Homem",2017,1505482,"ES"
"Homem",2018,1527255,"ES"
"Homem",2019,1548580,"ES"
"Mulher",2013,1483097,"ES"
"Mulher",2014,1509189,"ES"
"Mulher",2015,1534498,"ES"
"Mulher",2016,1559332,"ES"
"Mulher",2017,1582856,"ES"
"Mulher",2018,1605867,"ES"
"Mulher",2019,1628413,"ES"
"Homem",2013,2431111,"GO"
"Homem",2014,2481057,"GO"
"Homem",2015,2529291,"GO"
"Homem",2016,2574625,"GO"
